time,deg,depth,mag_mw,detection
2017-06-10T05:42:14.370Z,105.9527027813,10,5.6,0
2017-06-10T11:08:58.360Z,33.8040362161,15,4.685,0
2017-06-10T18:47:31.060Z,43.0681569836,10,5.5,1
2017-06-10T20:38:18.560Z,4.5732769096,10,4.8,1
2017-06-11T12:19:29.750Z,8.7252207253,22.86,3.53,0
2017-06-11T23:15:06.180Z,121.7853563219,7,5.6,0
2017-06-12T02:43:26.880Z,93.12831189,27,5.7,0
2017-06-12T12:28:39.070Z,87.3501422529,12,6.3,1
2017-06-12T15:06:26.640Z,39.1056664741,16.07,5.365,0
2017-06-12T22:54:55.650Z,9.5488350923,10.56,3.16,0
2017-06-13T08:43:53.340Z,43.8187941135,46.98,5.28,0
2017-06-13T19:16:40.900Z,1.6522177709,-1.5,1.98,0
2017-06-14T00:25:37.310Z,90.6815684629,13.96,5.8,1
2017-06-14T06:38:48.810Z,43.0840430925,10.66,5.5,1
2017-06-14T07:23:54.950Z,43.0718223304,28.94,5.4,1
2017-06-14T07:29:05.630Z,42.9608321057,94,6.9,1
2017-06-14T21:14:52.490Z,43.713165395,10,5.365,1
2017-06-15T00:26:17.550Z,93.8894977318,34,6,0
2017-06-15T09:07:15.773Z,10.7864869463,6.3,3.24,0
2017-06-15T11:42:15.940Z,105.1615263653,10,5.8,0
2017-06-16T00:48:46.940Z,9.5526899479,9.3,4.48,1
2017-06-16T03:55:25.800Z,1.9026503687,56.45,3.81,1
2017-06-16T19:37:26.850Z,116.5028190447,10,5.7,0
2017-06-17T00:17:12.960Z,31.2876379654,19.58,5.4,1
2017-06-17T16:20:25.160Z,8.3551927788,4.25,3.07,0
2017-06-17T21:15:35.900Z,1.6707641142,-1.5,1.97,0
2017-06-17T22:26:01.990Z,89.5863239306,511,6.1,1
2017-06-17T23:52:28.600Z,0.9139451167,14.61,2.04,1
2017-06-18T09:06:56.500Z,50.2841384393,7.19,5.1,0
2017-06-19T09:15:43.570Z,84.8121435052,263.52,5.8,1
2017-06-19T17:22:58.000Z,2.112210568,36.7,4.12,1
2017-06-19T20:24:13.820Z,31.291470633,192.69,4.855,0
2017-06-21T23:18:41.200Z,5.8252144521,-1.13,2.45,0
2017-06-22T12:31:04.490Z,44.5261152971,46.82,6.8,1
2017-06-22T22:25:16.430Z,43.1398936592,10,4.5,0
2017-06-22T22:36:19.480Z,53.6580126031,9.55,5.28,0
2017-06-23T14:53:48.670Z,0.8705187728,16.51,1.48,1
2017-06-24T02:37:18.140Z,144.8330888277,24.44,5.6,1
2017-06-24T16:09:11.120Z,78.4758072276,69.05,5.7,1
2017-06-24T21:13:08.940Z,1.671218046,-1.5,1.98,0
2017-06-24T21:22:03.060Z,9.4880878352,9.14,4.03,0
2017-06-25T02:28:24.600Z,32.5409556074,10,4.685,0
2017-06-25T03:25:14.610Z,1.7525001389,8.47,2.86,1
2017-06-25T17:42:30.040Z,83.8974336473,38.27,6.2,1
2017-06-27T09:09:21.870Z,10.4532840687,-1.22,3.95,0
2017-06-28T12:07:30.750Z,57.5832477969,49.02,5.4,1
2017-06-28T18:20:53.900Z,93.5219236461,10,6,0
2017-06-29T07:03:10.490Z,95.3023783301,392.32,6,0
2017-06-29T08:40:03.370Z,1.0149747768,16.27,3.04,1
